"","第1層","第2層","第3層","第4層"
0,"プロフェッショナリズム","信頼","誠実さ","どのように行動すれば患者や社会に対して誠実に振る舞えるか？"
1,"プロフェッショナリズム","信頼","誠実さ","社会から信頼される専門職集団であるためにはどのように行動すればよいか？"
2,"プロフェッショナリズム","信頼","誠実さ","どのように行動すれば守秘義務を遵守できるか？"
3,"プロフェッショナリズム","信頼","省察","どのようにすれば自分自身の限界を適切に認識できるか？"
4,"プロフェッショナリズム","信頼","省察","他者からのフィードバックを受け入れられるにはどのような心持ちでいればよいか？"
5,"プロフェッショナリズム","信頼","説明責任","わかりやすく正確な説明を行うにはどのようにすればよいか？"
6,"プロフェッショナリズム","信頼","自律性","患者が適切に意思決定できるようするためにはどのように支援すればよいか？"
7,"プロフェッショナリズム","思いやり","思いやりと利他","患者を含めた他者に思いやりをもって接するにはどのように行動すればよいか？"
8,"プロフェッショナリズム","思いやり","思いやりと利他","利己と利他をどのように両立させるか？"
9,"プロフェッショナリズム","思いやり","思いやりと利他","自分自身の精神的・身体的健康をどのように管理すればよいか？"
10,"プロフェッショナリズム","思いやり","他者理解と自己理解","他者を理解するためにはどのようなことを知る必要があるか？"
11,"プロフェッショナリズム","思いやり","他者理解と自己理解","他者を適切に理解するための妨げとなる自分や自集団の偏見とはどのようなものか？"
12,"プロフェッショナリズム","思いやり","品格・礼儀","礼儀正しく振る舞うにはどのように行動すればよいか？"
13,"プロフェッショナリズム","思いやり","品格・礼儀","医師に求められる品格とは何か？"
14,"プロフェッショナリズム","社会正義","医療資源の公平な分配","医療資源を公平に分配するにはどのように行動すればよいか？（保留）"
15,"プロフェッショナリズム","社会正義","社会的弱者への配慮","社会的弱者とはどのような人たちを指すのか？"
16,"プロフェッショナリズム","社会正義","社会的弱者への配慮","社会的弱者の健康問題を解決するためにどのように行動すればよいか？"
17,"総合的に患者・生活者をみる姿勢","全人的な視点とアプローチ","臓器横断的な診療","臓器横断的に医学的課題を捉えることができる。"
18,"総合的に患者・生活者をみる姿勢","全人的な視点とアプローチ","臓器横断的な診療","適切な医療機関や診療科につなぐ重要性について概説できる。"
19,"総合的に患者・生活者をみる姿勢","全人的な視点とアプローチ","臓器横断的な診療","臨床推論の基本的なフレームワークを概説できる。"
