第2層,第3層,第4層,メモ
,,,
,,,
社会の構造や変化から捉える医療,社会格差と医療,社会的弱者の立場にある患者の代弁者となることができる,
社会の構造や変化から捉える医療,社会格差と医療,社会格差を解消するために社会に対して行動できる,
社会の構造や変化から捉える医療,健康と医療,健康寿命を延ばすために生活者への積極的な働きかけを行うことができる,
社会の構造や変化から捉える医療,健康と医療,バリヤフリーなどの障害と社会環境に関連する概念を理解した行動をとることができる,
社会の構造や変化から捉える医療,ジェンダーと医療,女性やLGBTに対する差別などのジェンダー不平等をなくすために積極的な行動をとることができる,
社会の構造や変化から捉える医療,気候変動と医療,気候変動と医療との関係性を理解できる,
社会の構造や変化から捉える医療,気候変動と医療,患者が抱える健康に関する課題と気候変動との関係を想像できる,
社会の構造や変化から捉える医療,気候変動と医療,地球環境が抱える諸課題を認識し、その解決のために行動できる,
社会の構造や変化から捉える医療,哲学と医療,現代思想・哲学の語彙を概説することができる,
社会の構造や変化から捉える医療,哲学と医療,自分自身なりの哲学をもって医療を実践することができる,
社会の構造や変化から捉える医療,歴史と医学・医療,医学・医療の歴史的変遷について概説できる。,
社会の構造や変化から捉える医療,歴史と医学・医療,現代の医学的問題について過去の歴史を用いて相対化できる。,
国内外の視点から捉える医療,国内の医療職の役割や医療体制,医師法が定める医師の職権と義務を説明できる,
国内外の視点から捉える医療,国内の医療職の役割や医療体制,"医療職を規定する法律・制度について列挙できる。",
国内外の視点から捉える医療,国内の医療職の役割や医療体制,"医療法が定める医療施設について列挙できる。",
国内外の視点から捉える医療,国内の医療職の役割や医療体制,"地域医療計画について説明できる。
     ",
国内外の視点から捉える医療,"グルーバルヘルスの役割や医療体制",国際的に援助が必要とされる医療・健康課題の歴史・社会的背景を知る,
国内外の視点から捉える医療,グルーバルヘルスの役割や医療体制,グローバルヘルス領域での母子に関わる医療・健康問題について挙げることができる,
国内外の視点から捉える医療,グルーバルヘルスの役割や医療体制,国際的に問題となっている感染症・非感染性疾患とその対策について列挙できる,
国内外の視点から捉える医療,グルーバルヘルスの役割や医療体制,UHC(Universal health coverage)とは何かを概説し、各国の医療制度が抱える問題を例示できる,
国内外の視点から捉える医療,グルーバルヘルスの役割や医療体制,保健関連SDGや国際援助組織について列挙できる     ,
社会科学の視点から捉える医療,社会科学と医療との関係,社会科学（主に医療人類学や医療社会学）の基本的な視点・方法・理論を用いることができる,
社会科学の視点から捉える医療,社会科学と医療との関係,医療に関する諸事象をシステム論の観点から社会の諸制度との関わりのなかで捉え、構造的に説明できる,
社会科学の視点から捉える医療,社会科学と医療との関係,人びとの生活の場において健康・病気・死とそれらをめぐる医療がどのようにとらえられているかを探索することを通じて、予防医学や健康維持増進、在宅療養・入院・施設入所等の関係について総合的に考察できる。,
