,第2層,第3層,第4層,H28対応項目,メモ
0,患者の情報収集,病歴,適切な身だしなみ、言葉遣い及び態度で患者に接することができる。,F-03-02-na-01,
1,患者の情報収集,病歴,医療面接における基本的コミュニケーション技法を用いることができる。,F-03-02-na-02,
2,患者の情報収集,病歴,病歴（主訴、現病歴、常用薬、アレルギー歴、既往歴、家族歴、嗜好、生活習慣、社会歴・職業歴、生活環境、家庭環境、海外渡航歴、システムレビュー）を聴き取り、情報を取捨選択し整理できる。,F-03-02-na-03,
3,患者の情報収集,病歴,患者の立場を尊重し、信頼を得ることができる。,F-03-05-01-01,
4,患者の情報収集,病歴,保護者から必要な情報を得たり対応したりすることに可能な範囲で参加できる。,F-03-05-08-04,
5,患者の情報収集,病歴,保護者から必要な情報を得たり対応したりすることに可能な範囲で参加する。,G-04-01-03-04,
6,患者の情報収集,病歴,模擬患者の協力を得て、臨床技能（コミュニケーションスキルを含む）や医療者に求められる態度を身に付ける。,G-04-04-na-02,
7,患者の情報収集,病歴,適切な身だしなみ、言葉遣い及び態度で患者に接することができる。,F-03-02-na-01,
8,患者の情報収集,病歴,医療面接における基本的コミュニケーション技法を用いることができる。,F-03-02-na-02,
9,患者の情報収集,病歴,病歴（主訴、現病歴、常用薬、アレルギー歴、既往歴、家族歴、嗜好、生活習慣、社会歴・職業歴、生活環境、家庭環境、海外渡航歴、システムレビュー）を聴き取り、情報を取捨選択し整理できる。,F-03-02-na-03,
10,患者の情報収集,病歴,患者の立場を尊重し、信頼を得ることができる。,F-03-05-01-01,
11,患者の情報収集,病歴,保護者から必要な情報を得たり対応したりすることに可能な範囲で参加できる。,F-03-05-08-04,
12,患者の情報収集,病歴,保護者から必要な情報を得たり対応したりすることに可能な範囲で参加する。,G-04-01-03-04,
13,患者の情報収集,病歴,模擬患者の協力を得て、臨床技能（コミュニケーションスキルを含む）や医療者に求められる態度を身に付ける。,G-04-04-na-02,
14,患者の情報収集,病歴,適切な身だしなみ、言葉遣い及び態度で患者に接することができる。,F-03-02-na-01,
15,患者の情報収集,病歴,医療面接における基本的コミュニケーション技法を用いることができる。,F-03-02-na-02,
16,患者の情報収集,病歴,病歴（主訴、現病歴、常用薬、アレルギー歴、既往歴、家族歴、嗜好、生活習慣、社会歴・職業歴、生活環境、家庭環境、海外渡航歴、システムレビュー）を聴き取り、情報を取捨選択し整理できる。,F-03-02-na-03,
17,患者の情報収集,病歴,患者の立場を尊重し、信頼を得ることができる。,F-03-05-01-01,
18,患者の情報収集,病歴,保護者から必要な情報を得たり対応したりすることに可能な範囲で参加できる。,F-03-05-08-04,
19,患者の情報収集,病歴,保護者から必要な情報を得たり対応したりすることに可能な範囲で参加する。,G-04-01-03-04,
20,患者の情報収集,病歴,模擬患者の協力を得て、臨床技能（コミュニケーションスキルを含む）や医療者に求められる態度を身に付ける。,G-04-04-na-02,
21,患者の情報収集,病歴,適切な身だしなみ、言葉遣い及び態度で患者に接することができる。,F-03-02-na-01,
22,患者の情報収集,病歴,医療面接における基本的コミュニケーション技法を用いることができる。,F-03-02-na-02,
23,患者の情報収集,病歴,病歴（主訴、現病歴、常用薬、アレルギー歴、既往歴、家族歴、嗜好、生活習慣、社会歴・職業歴、生活環境、家庭環境、海外渡航歴、システムレビュー）を聴き取り、情報を取捨選択し整理できる。,F-03-02-na-03,
24,患者の情報収集,病歴,患者の立場を尊重し、信頼を得ることができる。,F-03-05-01-01,
25,患者の情報収集,病歴,保護者から必要な情報を得たり対応したりすることに可能な範囲で参加できる。,F-03-05-08-04,
26,患者の情報収集,病歴,保護者から必要な情報を得たり対応したりすることに可能な範囲で参加する。,G-04-01-03-04,
27,患者の情報収集,病歴,模擬患者の協力を得て、臨床技能（コミュニケーションスキルを含む）や医療者に求められる態度を身に付ける。,G-04-04-na-02,
28,患者の情報収集,病歴,適切な身だしなみ、言葉遣い及び態度で患者に接することができる。,F-03-02-na-01,
29,患者の情報収集,病歴,医療面接における基本的コミュニケーション技法を用いることができる。,F-03-02-na-02,
30,患者の情報収集,病歴,病歴（主訴、現病歴、常用薬、アレルギー歴、既往歴、家族歴、嗜好、生活習慣、社会歴・職業歴、生活環境、家庭環境、海外渡航歴、システムレビュー）を聴き取り、情報を取捨選択し整理できる。,F-03-02-na-03,
31,患者の情報収集,病歴,患者の立場を尊重し、信頼を得ることができる。,F-03-05-01-01,
